period,country,sex,agecode,age,pi,LE,HLE,u,rho,lx,Lx
2011 to 2013,Northern Ireland,Female,14,60 to 64,0.636308199592684,25.0,12.5,4.509699472647004,0.9928289946243205,0.9112194776907835,4.1093259980078045
2011 to 2013,Northern Ireland,Female,15,65 to 69,0.589454813850486,20.638297872340424,9.7,4.142716585827788,1.0222613755021914,0.904685117917839,3.7478540429498
2011 to 2013,Northern Ireland,Female,16,70 to 74,0.532983857832305,16.136363636363637,7.1,5.64272215094684,0.8185040358625101,0.9248246530390524,5.218528555445187
2011 to 2013,Northern Ireland,Female,17,75 to 79,0.467132972263471,12.820512820512821,5.0,4.3781055232425,0.8954068345589734,0.75697271097761,3.314106406874923
2011 to 2013,Northern Ireland,Female,18,80 to 84,0.402536719665086,9.428571428571429,3.3,4.075602188059324,0.7902002212184536,0.6777985389839865,2.762437208546548
2011 to 2013,Northern Ireland,Female,19,85 to 89,0.33915406589488,6.774193548387097,2.1,3.918319746338236,0.6425716054609937,0.5355965554466907,2.0986385592775103
2011 to 2013,Northern Ireland,Female,20,90+,0.267265671773359,4.444444444444445,1.2,4.444444444444445,0.0,0.34415913851275814,1.529596171167814
2011 to 2013,Northern Ireland,Male,1,<1,0.956987942629523,77.56410256410257,60.5,4.148080430928104,0.9453233619154571,1.0,4.148080430928104
2011 to 2013,Northern Ireland,Male,2,01 to 04,0.951462049636855,77.66233766233766,59.8,4.056278401366683,0.997158735086238,0.9453233619154571,3.8344947352450083
2011 to 2013,Northern Ireland,Male,3,05 to 09,0.946816478420588,73.8157894736842,56.1,3.750488275475746,1.0223536167053764,0.9426374478150872,3.535350696054865
2011 to 2013,Northern Ireland,Male,4,10 to 14,0.942065815296576,68.53333333333333,51.4,3.3916342174328378,1.032223926033541,0.9637088040156799,3.268547755340857
2011 to 2013,Northern Ireland,Male,5,15 to 19,0.934607364226338,63.108108108108105,46.7,5.881262121233689,0.9763822064111274,0.9947632852341536,5.850463629041611
2011 to 2013,Northern Ireland,Male,6,20 to 24,0.917170742528036,58.611111111111114,42.2,5.397698642904885,0.9880474463592668,0.9712691712937045,5.242618287787381
2011 to 2013,Northern Ireland,Male,7,25 to 29,0.901803759168066,53.85714285714286,37.7,4.856287653477864,0.9976222017512635,0.9596600244242259,4.660385128147634
2011 to 2013,Northern Ireland,Male,8,30 to 34,0.882727828318031,49.11764705882353,33.4,4.410553223613249,1.010502805864342,0.9573781464987675,4.2225672702570165
2011 to 2013,Northern Ireland,Male,9,35 to 39,0.851501253704359,44.24242424242424,29.2,5.992168012937107,0.9600661922142188,0.9674333033102076,5.797022894745508
2011 to 2013,Northern Ireland,Male,10,40 to 44,0.816818462782062,39.84126984126984,25.1,5.512621387965041,0.9715655222633434,0.9288000077302545,5.120122787755896
2011 to 2013,Northern Ireland,Male,11,45 to 49,0.779014891315776,35.333333333333336,21.2,3.550823066528231,1.0473781792469863,0.9023900645886421,3.204227456347251
2011 to 2013,Northern Ireland,Male,12,50 to 54,0.728314349545591,30.3448275862069,17.6,5.105280813945104,0.970751798933146,0.9451436628194223,4.825223808213797
2011 to 2013,Northern Ireland,Male,13,55 to 59,0.677411319599525,26.0,14.3,4.955170962192682,0.9684346105893634,0.9174999109322169,4.546368916465694
2011 to 2013,Northern Ireland,Male,14,60 to 64,0.616837416707472,21.73076923076923,11.3,5.139832502475386,0.9238135223709072,0.8885386689594171,4.566939930423829
2011 to 2013,Northern Ireland,Male,15,65 to 69,0.575894494877627,17.95918367346939,8.8,4.648844716679369,0.9419624492497554,0.8208440375341566,3.8159764671084253
